start,end,dur
2015-01-31 17:15:00,2015-02-01 00:00:00,0 days 06:45:00.000000000
2015-02-24 06:45:00,2015-02-28 06:00:00,3 days 23:15:00.000000000
2015-03-21 08:45:00,2015-04-01 00:00:00,10 days 15:15:00.000000000
2015-04-19 12:15:00,2015-05-01 00:00:00,11 days 11:45:00.000000000
2015-05-18 13:00:00,2015-06-01 00:00:00,13 days 11:00:00.000000000
2015-06-25 00:30:00,2015-07-01 00:00:00,5 days 23:30:00.000000000
2015-07-13 21:30:00,2015-08-01 00:00:00,18 days 02:30:00.000000000
2015-08-25 07:30:00,2015-09-01 00:00:00,6 days 16:30:00.000000000
2015-09-12 20:45:00,2015-10-01 00:00:00,18 days 03:15:00.000000000
2015-10-25 05:30:00,2015-11-01 00:00:00,6 days 18:30:00.000000000
2015-11-15 05:45:00,2015-11-30 06:00:00,15 days 00:15:00.000000000
2015-11-30 15:15:00,2015-12-01 00:00:00,0 days 08:45:00.000000000
